"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 10 12:26:10 EEST 2023","Mon Apr 10 12:26:10 EEST 2023","185","","","","Tests_AltTester","TestBeginMoveEndTouchMovesScrollbar","TestBeginMoveEndTouchMovesScrollbar",""
"passed","Mon Apr 10 12:31:41 EEST 2023","Mon Apr 10 12:31:41 EEST 2023","435","","","","Tests_AltTester","TestMoveMouseOnScrollbar","TestMoveMouseOnScrollbar",""
"passed","Mon Apr 10 12:31:59 EEST 2023","Mon Apr 10 12:32:02 EEST 2023","3159","","","","Tests_AltTester","TestTiltBall","TestTiltBall",""
"passed","Mon Apr 10 12:31:54 EEST 2023","Mon Apr 10 12:31:56 EEST 2023","2259","","","","Tests_AltTester","TestScrollOnScrollbar","TestScrollOnScrollbar",""
"passed","Mon Apr 10 12:31:42 EEST 2023","Mon Apr 10 12:31:54 EEST 2023","11417","","","","Tests_AltTester","TestSameValueFourCountTextinDifferentWays","TestSameValueFourCountTextinDifferentWays",""
"passed","Mon Apr 10 12:30:43 EEST 2023","Mon Apr 10 12:31:29 EEST 2023","45262","","","","Tests_AltTester","TestCountNumberSameAsPickedupItems","TestCountNumberSameAsPickedupItems",""
"passed","Mon Apr 10 12:25:58 EEST 2023","Mon Apr 10 12:26:10 EEST 2023","12404","","","","Tests_AltTester","TestBallMovesOnPressKeys","TestBallMovesOnPressKeys",""
"passed","Mon Apr 10 12:26:11 EEST 2023","Mon Apr 10 12:30:43 EEST 2023","271967","","","","Tests_AltTester","TestCollectAllItems","TestCollectAllItems",""
"passed","Mon Apr 10 12:31:56 EEST 2023","Mon Apr 10 12:31:59 EEST 2023","3184","","","","Tests_AltTester","TestSwipeOnScrollbar","TestSwipeOnScrollbar",""
"passed","Mon Apr 10 12:31:31 EEST 2023","Mon Apr 10 12:31:41 EEST 2023","9317","","","","Tests_AltTester","TestMoveBallWithMoveMouse","TestMoveBallWithMoveMouse",""
"passed","Mon Apr 10 12:31:41 EEST 2023","Mon Apr 10 12:31:42 EEST 2023","1292","","","","Tests_AltTester","TestPressKeyNearScrollBarMovesScrollBar","TestPressKeyNearScrollBarMovesScrollBar",""
"passed","Mon Apr 10 12:31:29 EEST 2023","Mon Apr 10 12:31:30 EEST 2023","1229","","","","Tests_AltTester","TestDoubleClick","TestDoubleClick",""
"passed","Mon Apr 10 12:31:30 EEST 2023","Mon Apr 10 12:31:31 EEST 2023","1343","","","","Tests_AltTester","TestKeyDownAndKeyUpMouse0MovesScrollBar","TestKeyDownAndKeyUpMouse0MovesScrollBar",""
"passed","Mon Apr 10 12:26:10 EEST 2023","Mon Apr 10 12:26:11 EEST 2023","1191","","","","Tests_AltTester","TestClickNearScrollBarMovesScrollBar","TestClickNearScrollBarMovesScrollBar",""
